user_zone,plant_zone,water_freq
Af,Af,high
Af,Am,high
Af,As,med
Af,Aw,low
Af,BWk,med
Af,BWh,med
Af,BSk,med
Af,BSh,med
Af,Cfa,low
Af,Cfb,low
Af,Cfc,low
Af,Csa,low
Af,Csb,low
Af,Csc,low
Af,Cwa,low
Af,Cwb,low
Af,Cwc,low
Af,Dfa,high
Af,Dfb,high
Af,Dfc,high
Af,Dfd,high
Af,Dsa,med
Af,Dsb,med
Af,Dsc,med
Af,Dsd,med
Af,Dwa,med
Af,Dwb,med
Af,Dwc,med
Af,Dwd,med
Af,EF,low
Af,ET,low
Am,Af,high
Am,Am,high
Am,As,med
Am,Aw,low
Am,BWk,med
Am,BWh,med
Am,BSk,med
Am,BSh,med
Am,Cfa,low
Am,Cfb,low
Am,Cfc,low
Am,Csa,low
Am,Csb,low
Am,Csc,low
Am,Cwa,low
Am,Cwb,low
Am,Cwc,low
Am,Dfa,high
Am,Dfb,high
Am,Dfc,high
Am,Dfd,high
Am,Dsa,med
Am,Dsb,med
Am,Dsc,med
Am,Dsd,med
Am,Dwa,med
Am,Dwb,med
Am,Dwc,med
Am,Dwd,med
Am,EF,low
Am,ET,low
As,Af,high
As,Am,high
As,As,low
As,Aw,med
As,BWk,low
As,BWh,low
As,BSk,low
As,BSh,low
As,Cfa,med
As,Cfb,med
As,Cfc,med
As,Csa,med
As,Csb,med
As,Csc,med
As,Cwa,med
As,Cwb,med
As,Cwc,med
As,Dfa,med
As,Dfb,med
As,Dfc,med
As,Dfd,med
As,Dsa,low
As,Dsb,low
As,Dsc,low
As,Dsd,low
As,Dwa,low
As,Dwb,low
As,Dwc,low
As,Dwd,low
As,EF,low
As,ET,low
Aw,Af,high
Aw,Am,high
Aw,As,low
Aw,Aw,med
Aw,BWk,low
Aw,BWh,low
Aw,BSk,low
Aw,BSh,low
Aw,Cfa,med
Aw,Cfb,med
Aw,Cfc,med
Aw,Csa,med
Aw,Csb,med
Aw,Csc,med
Aw,Cwa,med
Aw,Cwb,med
Aw,Cwc,med
Aw,Dfa,high
Aw,Dfb,high
Aw,Dfc,high
Aw,Dfd,high
Aw,Dsa,low
Aw,Dsb,low
Aw,Dsc,low
Aw,Dsd,low
Aw,Dwa,low
Aw,Dwb,low
Aw,Dwc,low
Aw,Dwd,low
Aw,EF,low
Aw,ET,low
BWk,Af,med
BWk,Am,med
BWk,As,low
BWk,Aw,med
BWk,BWk,low
BWk,BWh,low
BWk,BSk,low
BWk,BSh,low
BWk,Cfa,med
BWk,Cfb,med
BWk,Cfc,med
BWk,Csa,med
BWk,Csb,med
BWk,Csc,med
BWk,Cwa,med
BWk,Cwb,med
BWk,Cwc,med
BWk,Dfa,med
BWk,Dfb,med
BWk,Dfc,med
BWk,Dfd,med
BWk,Dsa,low
BWk,Dsb,low
BWk,Dsc,low
BWk,Dsd,low
BWk,Dwa,low
BWk,Dwb,low
BWk,Dwc,low
BWk,Dwd,low
BWk,EF,low
BWk,ET,low
BWh,Af,med
BWh,Am,med
BWh,As,low
BWh,Aw,med
BWh,BWk,low
BWh,BWh,low
BWh,BSk,low
BWh,BSh,low
BWh,Cfa,med
BWh,Cfb,med
BWh,Cfc,med
BWh,Csa,med
BWh,Csb,med
BWh,Csc,med
BWh,Cwa,med
BWh,Cwb,med
BWh,Cwc,med
BWh,Dfa,med
BWh,Dfb,med
BWh,Dfc,med
BWh,Dfd,med
BWh,Dsa,low
BWh,Dsb,low
BWh,Dsc,low
BWh,Dsd,low
BWh,Dwa,low
BWh,Dwb,low
BWh,Dwc,low
BWh,Dwd,low
BWh,EF,low
BWh,ET,low
BSk,Af,med
BSk,Am,med
BSk,As,low
BSk,Aw,med
BSk,BWk,low
BSk,BWh,low
BSk,BSk,low
BSk,BSh,low
BSk,Cfa,med
BSk,Cfb,med
BSk,Cfc,med
BSk,Csa,med
BSk,Csb,med
BSk,Csc,med
BSk,Cwa,med
BSk,Cwb,med
BSk,Cwc,med
